Episode =    1, score= 55.084 (best= 55.084, step=37, avg_reward=  1.489, worst=  1.730,  z-Pos=11.353032794193092, z-Vel=3.110647413244855, z-target=10.0)
Episode =   19, score= 55.742 (best= 60.640, step=42, avg_reward=  1.327, worst=  0.592,  z-Pos=11.36306371323141, z-Vel=3.3177176965232853, z-target=10.0)
Episode =   20, score= 48.899 (best= 60.640, step=35, avg_reward=  1.397, worst=  0.592,  z-Pos=11.349643699983528, z-Vel=2.6742738955584455, z-target=10.0)
Episode =   21, score= 47.589 (best= 60.640, step=34, avg_reward=  1.400, worst=  0.592,  z-Pos=11.355826991863761, z-Vel=2.73670511930246, z-target=10.0)
Episode =   22, score= 61.665 (best= 61.665, step=41, avg_reward=  1.504, worst=  0.592,  z-Pos=11.316464032889538, z-Vel=2.9634178553601207, z-target=10.0)
Episode =   23, score= 52.888 (best= 61.665, step=47, avg_reward=  1.125, worst=  0.592,  z-Pos=11.373905805542824, z-Vel=3.570616475014636, z-target=10.0)
Episode =   24, score= 53.366 (best= 61.665, step=37, avg_reward=  1.442, worst=  0.592,  z-Pos=11.359359450452532, z-Vel=2.876823479965796, z-target=10.0)
Episode =   25, score= 64.353 (best= 64.353, step=42, avg_reward=  1.532, worst=  0.592,  z-Pos=11.334206351994544, z-Vel=3.1359647216159954, z-target=10.0)
Episode =   26, score= 58.912 (best= 64.353, step=39, avg_reward=  1.511, worst=  0.592,  z-Pos=11.367553233940956, z-Vel=3.20661815455505, z-target=10.0)
Episode =   27, score= 50.810 (best= 64.353, step=43, avg_reward=  1.182, worst=  0.592,  z-Pos=11.333960187473307, z-Vel=3.4907780631541416, z-target=10.0)
Episode =   28, score= 60.206 (best= 64.353, step=40, avg_reward=  1.505, worst=  0.592,  z-Pos=11.344738647062721, z-Vel=3.076384177117613, z-target=10.0)
Episode =   29, score= 50.722 (best= 64.353, step=49, avg_reward=  1.035, worst=  0.565,  z-Pos=11.345278602976729, z-Vel=3.6729199459432404, z-target=10.0)
Episode =   30, score= 56.415 (best= 64.353, step=39, avg_reward=  1.447, worst=  0.565,  z-Pos=11.370455480834506, z-Vel=2.874937244903659, z-target=10.0)
Episode =   31, score= 49.494 (best= 64.353, step=35, avg_reward=  1.414, worst=  0.565,  z-Pos=11.333038417386472, z-Vel=2.7094171978797625, z-target=10.0)
Episode =   32, score= 63.299 (best= 64.353, step=46, avg_reward=  1.376, worst=  0.565,  z-Pos=11.377826912966766, z-Vel=3.251829350812919, z-target=10.0)
Episode =   33, score= 57.941 (best= 64.353, step=40, avg_reward=  1.449, worst=  0.565,  z-Pos=11.36451584954998, z-Vel=3.2392205553802316, z-target=10.0)
Episode =   34, score= 56.654 (best= 64.353, step=38, avg_reward=  1.491, worst=  0.565,  z-Pos=11.328851549335106, z-Vel=3.013933044894957, z-target=10.0)
Episode =   35, score= 56.404 (best= 64.353, step=41, avg_reward=  1.376, worst=  0.565,  z-Pos=11.317582524087852, z-Vel=3.218340519299533, z-target=10.0)
Episode =   36, score= 50.650 (best= 64.353, step=35, avg_reward=  1.447, worst=  0.565,  z-Pos=11.322414887068446, z-Vel=2.852077171432665, z-target=10.0)
Episode =   37, score= 53.497 (best= 64.353, step=37, avg_reward=  1.446, worst=  0.565,  z-Pos=11.349526646135565, z-Vel=2.865728384441593, z-target=10.0)
Episode =   38, score= 49.717 (best= 64.353, step=50, avg_reward=  0.994, worst=  0.521,  z-Pos=11.347557866068238, z-Vel=3.7500900771785584, z-target=10.0)
Episode =   39, score= 59.478 (best= 64.353, step=39, avg_reward=  1.525, worst=  0.521,  z-Pos=11.322991758613341, z-Vel=3.1573109028629176, z-target=10.0)
Episode =   40, score= 51.509 (best= 64.353, step=44, avg_reward=  1.171, worst=  0.521,  z-Pos=11.3325292006004, z-Vel=3.4709050962958847, z-target=10.0)
Episode =   41, score= 54.502 (best= 64.353, step=38, avg_reward=  1.434, worst=  0.521,  z-Pos=11.37363443233023, z-Vel=3.285384421054689, z-target=10.0)
Episode =   42, score= 53.714 (best= 64.353, step=42, avg_reward=  1.279, worst=  0.521,  z-Pos=11.37383730539342, z-Vel=3.384817342895759, z-target=10.0)
Episode =   43, score= 53.515 (best= 64.353, step=37, avg_reward=  1.446, worst=  0.521,  z-Pos=11.340651517953054, z-Vel=2.8416700239437302, z-target=10.0)
Episode =   44, score= 62.285 (best= 64.353, step=41, avg_reward=  1.519, worst=  0.521,  z-Pos=11.36611981017509, z-Vel=3.1833980697341526, z-target=10.0)
Episode =   45, score= 49.648 (best= 64.353, step=35, avg_reward=  1.419, worst=  0.521,  z-Pos=11.323336817499863, z-Vel=2.7020400250612093, z-target=10.0)
Episode =   46, score= 59.333 (best= 64.353, step=40, avg_reward=  1.483, worst=  0.521,  z-Pos=11.360563626659598, z-Vel=3.0057384282874353, z-target=10.0)
Episode =   47, score= 55.175 (best= 64.353, step=42, avg_reward=  1.314, worst=  0.521,  z-Pos=11.327588506127183, z-Vel=3.2883435204228353, z-target=10.0)
Episode =   48, score= 52.450 (best= 64.353, step=36, avg_reward=  1.457, worst=  0.521,  z-Pos=11.362644898358258, z-Vel=2.9980208924805622, z-target=10.0)
Episode =   49, score= 58.793 (best= 64.353, step=39, avg_reward=  1.508, worst=  0.521,  z-Pos=11.37629536145287, z-Vel=3.2152529941284285, z-target=10.0)
Episode =   50, score= 52.873 (best= 64.353, step=43, avg_reward=  1.230, worst=  0.521,  z-Pos=11.335263435169532, z-Vel=3.4035095701512135, z-target=10.0)
Episode =   51, score= 53.656 (best= 64.353, step=46, avg_reward=  1.166, worst=  0.521,  z-Pos=11.353676168406198, z-Vel=3.4712920533619416, z-target=10.0)
Episode =   52, score= 51.543 (best= 64.353, step=44, avg_reward=  1.171, worst=  0.521,  z-Pos=11.329652820656348, z-Vel=3.4645134981627925, z-target=10.0)
Episode =   53, score= 62.326 (best= 64.353, step=41, avg_reward=  1.520, worst=  0.521,  z-Pos=11.369571568166004, z-Vel=3.198731449553035, z-target=10.0)
Episode =   54, score= 55.004 (best= 64.353, step=37, avg_reward=  1.487, worst=  0.521,  z-Pos=11.333834449489082, z-Vel=3.0387570351780413, z-target=10.0)
Episode =   55, score= 44.987 (best= 64.353, step=33, avg_reward=  1.363, worst=  0.521,  z-Pos=11.332400407166372, z-Vel=2.502749665363822, z-target=10.0)
Episode =   56, score= 52.326 (best= 64.353, step=42, avg_reward=  1.246, worst=  0.521,  z-Pos=11.321978254420648, z-Vel=3.38026103656966, z-target=10.0)
Episode =   57, score= 45.359 (best= 64.353, step=32, avg_reward=  1.417, worst=  0.521,  z-Pos=11.32885319098136, z-Vel=2.8172218040994967, z-target=10.0)
Episode =   58, score= 47.774 (best= 64.353, step=34, avg_reward=  1.405, worst=  0.521,  z-Pos=11.335693103908525, z-Vel=2.7008675359191425, z-target=10.0)
Episode =   59, score= 66.006 (best= 66.006, step=43, avg_reward=  1.535, worst=  0.521,  z-Pos=11.354129119295248, z-Vel=3.178150444539924, z-target=10.0)
Episode =   60, score= 58.302 (best= 66.006, step=43, avg_reward=  1.356, worst=  0.521,  z-Pos=11.365562320143928, z-Vel=3.2680664034873472, z-target=10.0)
Episode =   61, score= 55.013 (best= 66.006, step=46, avg_reward=  1.196, worst=  0.521,  z-Pos=11.32793583544837, z-Vel=3.3981920885679364, z-target=10.0)
Episode =   62, score= 55.852 (best= 66.006, step=38, avg_reward=  1.470, worst=  0.521,  z-Pos=11.319061330543377, z-Vel=2.8714318818233586, z-target=10.0)
Episode =   63, score= 59.089 (best= 66.006, step=39, avg_reward=  1.515, worst=  0.521,  z-Pos=11.330426402287385, z-Vel=3.1218017825478217, z-target=10.0)
Episode =   64, score= 51.870 (best= 66.006, step=45, avg_reward=  1.153, worst=  0.521,  z-Pos=11.354550297955953, z-Vel=3.5284703853261763, z-target=10.0)
Episode =   65, score= 42.957 (best= 66.006, step=31, avg_reward=  1.386, worst=  0.521,  z-Pos=11.319461500725366, z-Vel=2.6423296242780085, z-target=10.0)
Episode =   66, score= 50.328 (best= 66.006, step=35, avg_reward=  1.438, worst=  0.521,  z-Pos=11.371808108097593, z-Vel=2.9587833616284396, z-target=10.0)
Episode =   67, score= 51.507 (best= 66.006, step=48, avg_reward=  1.073, worst=  0.521,  z-Pos=11.332674159576024, z-Vel=3.6173343280830452, z-target=10.0)
Episode =   68, score= 53.967 (best= 66.006, step=47, avg_reward=  1.148, worst=  0.521,  z-Pos=11.385080841684516, z-Vel=3.5137791269530876, z-target=10.0)
Episode =   69, score= 64.102 (best= 66.006, step=42, avg_reward=  1.526, worst=  0.521,  z-Pos=11.362053275313428, z-Vel=3.1805478636516646, z-target=10.0)
Episode =   70, score= 52.859 (best= 66.006, step=45, avg_reward=  1.175, worst=  0.521,  z-Pos=11.368564105788876, z-Vel=3.4678982656445587, z-target=10.0)
Episode =   71, score= 64.000 (best= 66.006, step=45, avg_reward=  1.422, worst=  0.521,  z-Pos=11.336957599282577, z-Vel=3.193656026433403, z-target=10.0)
Episode =   72, score= 67.813 (best= 67.813, step=44, avg_reward=  1.541, worst=  0.521,  z-Pos=11.349797453491838, z-Vel=3.173204952686595, z-target=10.0)
Episode =   73, score= 53.136 (best= 67.813, step=48, avg_reward=  1.107, worst=  0.521,  z-Pos=11.317219522834199, z-Vel=3.4986073180180135, z-target=10.0)
Episode =   74, score= 55.108 (best= 67.813, step=38, avg_reward=  1.450, worst=  0.521,  z-Pos=11.371976425238095, z-Vel=2.9252199648595774, z-target=10.0)
Episode =   75, score= 60.346 (best= 67.813, step=40, avg_reward=  1.509, worst=  0.521,  z-Pos=11.349826928665268, z-Vel=3.1100651606595084, z-target=10.0)
Episode =   76, score= 45.424 (best= 67.813, step=33, avg_reward=  1.376, worst=  0.521,  z-Pos=11.342803211923549, z-Vel=2.604702748572344, z-target=10.0)
Episode =   77, score= 56.470 (best= 67.813, step=38, avg_reward=  1.486, worst=  0.521,  z-Pos=11.345651240310248, z-Vel=3.037612940950074, z-target=10.0)
Episode =   78, score= 53.036 (best= 67.813, step=37, avg_reward=  1.433, worst=  0.521,  z-Pos=11.349916349311302, z-Vel=2.8029199251770205, z-target=10.0)
Episode =   79, score= 57.256 (best= 67.813, step=44, avg_reward=  1.301, worst=  0.521,  z-Pos=11.354928815720443, z-Vel=3.2868586820136843, z-target=10.0)
Episode =   80, score= 55.637 (best= 67.813, step=46, avg_reward=  1.209, worst=  0.521,  z-Pos=11.365845760683682, z-Vel=3.3994131802679424, z-target=10.0)
Episode =   81, score= 55.320 (best= 67.813, step=47, avg_reward=  1.177, worst=  0.521,  z-Pos=11.362032511400647, z-Vel=3.4395721772082943, z-target=10.0)
Episode =   82, score= 56.362 (best= 67.813, step=38, avg_reward=  1.483, worst=  0.521,  z-Pos=11.321587391434203, z-Vel=2.9502726023329933, z-target=10.0)
Episode =   83, score= 50.785 (best= 67.813, step=49, avg_reward=  1.036, worst=  0.521,  z-Pos=11.332196243504718, z-Vel=3.667776294857868, z-target=10.0)
Episode =   84, score= 52.167 (best= 67.813, step=36, avg_reward=  1.449, worst=  0.521,  z-Pos=11.352144219678223, z-Vel=2.9222843354288472, z-target=10.0)
Episode =   85, score= 65.932 (best= 67.813, step=43, avg_reward=  1.533, worst=  0.521,  z-Pos=11.317381261722252, z-Vel=3.0697082445128174, z-target=10.0)
Episode =   86, score= 57.468 (best= 67.813, step=38, avg_reward=  1.512, worst=  0.521,  z-Pos=11.31699049450003, z-Vel=3.0996399870036737, z-target=10.0)
Episode =   87, score= 59.712 (best= 67.813, step=40, avg_reward=  1.493, worst=  0.521,  z-Pos=11.371239325574294, z-Vel=3.085751899753921, z-target=10.0)
Episode =   88, score= 58.738 (best= 67.813, step=39, avg_reward=  1.506, worst=  0.521,  z-Pos=11.337096893273815, z-Vel=3.0906664778007227, z-target=10.0)
Episode =   89, score= 51.930 (best= 67.813, step=47, avg_reward=  1.105, worst=  0.521,  z-Pos=11.350124356125779, z-Vel=3.5968128836734334, z-target=10.0)
Episode =   90, score= 53.611 (best= 67.813, step=37, avg_reward=  1.449, worst=  0.521,  z-Pos=11.357922673376448, z-Vel=2.9069538323003328, z-target=10.0)
Episode =   91, score= 61.522 (best= 67.813, step=42, avg_reward=  1.465, worst=  0.521,  z-Pos=11.353052904318949, z-Vel=3.2124697589031417, z-target=10.0)
Episode =   92, score= 56.365 (best= 67.813, step=39, avg_reward=  1.445, worst=  0.521,  z-Pos=11.346346472658821, z-Vel=2.80066738070173, z-target=10.0)
Episode =   93, score= 62.065 (best= 67.813, step=41, avg_reward=  1.514, worst=  0.521,  z-Pos=11.332123375958362, z-Vel=3.0582476704623596, z-target=10.0)
Episode =   94, score= 52.211 (best= 67.813, step=44, avg_reward=  1.187, worst=  0.521,  z-Pos=11.362642707879226, z-Vel=3.4943157650599677, z-target=10.0)
Episode =   95, score= 51.544 (best= 67.813, step=44, avg_reward=  1.171, worst=  0.521,  z-Pos=11.327961437910648, z-Vel=3.4722424987554388, z-target=10.0)
Episode =   96, score= 51.779 (best= 67.813, step=46, avg_reward=  1.126, worst=  0.521,  z-Pos=11.319725874176553, z-Vel=3.5173865716199617, z-target=10.0)
Episode =   97, score= 59.324 (best= 67.813, step=39, avg_reward=  1.521, worst=  0.521,  z-Pos=11.33731760831495, z-Vel=3.177291696360932, z-target=10.0)
Episode =   98, score= 60.335 (best= 67.813, step=40, avg_reward=  1.508, worst=  0.521,  z-Pos=11.358607959362509, z-Vel=3.1339200007957997, z-target=10.0)
Episode =   99, score= 62.215 (best= 67.813, step=41, avg_reward=  1.517, worst=  0.521,  z-Pos=11.349154796235982, z-Vel=3.1259200305713764, z-target=10.0)
Episode =  100, score= 60.062 (best= 67.813, step=40, avg_reward=  1.502, worst=  0.521,  z-Pos=11.349033376615921, z-Vel=3.069146014358403, z-target=10.0)
Episode =  101, score= 59.099 (best= 67.813, step=39, avg_reward=  1.515, worst=  0.521,  z-Pos=11.329600096930205, z-Vel=3.1208132186040527, z-target=10.0)
Episode =  102, score= 56.943 (best= 67.813, step=39, avg_reward=  1.460, worst=  0.521,  z-Pos=11.37353171120711, z-Vel=2.9514316402931797, z-target=10.0)
Episode =  103, score= 51.342 (best= 67.813, step=46, avg_reward=  1.116, worst=  0.521,  z-Pos=11.358582394714855, z-Vel=3.5756245344555366, z-target=10.0)
Episode =  104, score= 54.764 (best= 67.813, step=38, avg_reward=  1.441, worst=  0.521,  z-Pos=11.349522982496559, z-Vel=3.251431274085869, z-target=10.0)
Episode =  105, score= 57.400 (best= 67.813, step=38, avg_reward=  1.511, worst=  0.521,  z-Pos=11.357184869090906, z-Vel=3.212339778858766, z-target=10.0)
Episode =  106, score= 56.900 (best= 67.813, step=43, avg_reward=  1.323, worst=  0.521,  z-Pos=11.322290167030935, z-Vel=3.2480016044609075, z-target=10.0)
Episode =  107, score= 52.167 (best= 67.813, step=36, avg_reward=  1.449, worst=  0.521,  z-Pos=11.360578302048767, z-Vel=2.9485496504564686, z-target=10.0)
Episode =  108, score= 55.234 (best= 67.813, step=42, avg_reward=  1.315, worst=  0.521,  z-Pos=11.323061870797488, z-Vel=3.2871193408143013, z-target=10.0)
Episode =  109, score= 52.820 (best= 67.813, step=46, avg_reward=  1.148, worst=  0.521,  z-Pos=11.335562675785328, z-Vel=3.46446546271739, z-target=10.0)
Episode =  110, score= 52.557 (best= 67.813, step=44, avg_reward=  1.194, worst=  0.521,  z-Pos=11.332055162914068, z-Vel=3.440009554819359, z-target=10.0)
Episode =  111, score= 58.573 (best= 67.813, step=39, avg_reward=  1.502, worst=  0.521,  z-Pos=11.373880889132494, z-Vel=3.175956291123552, z-target=10.0)
Episode =  112, score= 60.265 (best= 67.813, step=40, avg_reward=  1.507, worst=  0.521,  z-Pos=11.337299519138192, z-Vel=3.0630462224792043, z-target=10.0)
Episode =  113, score= 58.645 (best= 67.813, step=39, avg_reward=  1.504, worst=  0.521,  z-Pos=11.34242864020156, z-Vel=3.093033604875423, z-target=10.0)
Episode =  114, score= 69.559 (best= 69.559, step=45, avg_reward=  1.546, worst=  0.521,  z-Pos=11.363587128307472, z-Vel=3.2084832535184, z-target=10.0)
Episode =  115, score= 60.505 (best= 69.559, step=41, avg_reward=  1.476, worst=  0.521,  z-Pos=11.372716956480115, z-Vel=3.2327456987576464, z-target=10.0)
Episode =  116, score= 57.655 (best= 69.559, step=43, avg_reward=  1.341, worst=  0.521,  z-Pos=11.338552444248037, z-Vel=3.24563056352904, z-target=10.0)
Episode =  117, score= 52.997 (best= 69.559, step=37, avg_reward=  1.432, worst=  0.521,  z-Pos=11.351099312238183, z-Vel=2.8011469071236963, z-target=10.0)
Episode =  118, score= 55.712 (best= 69.559, step=38, avg_reward=  1.466, worst=  0.521,  z-Pos=11.33685272800672, z-Vel=2.904368216916158, z-target=10.0)
Episode =  119, score= 51.044 (best= 69.559, step=35, avg_reward=  1.458, worst=  0.521,  z-Pos=11.338554780052805, z-Vel=2.966739831777374, z-target=10.0)
Episode =  120, score= 56.444 (best= 69.559, step=38, avg_reward=  1.485, worst=  0.521,  z-Pos=11.331221796097594, z-Vel=2.9906246333006297, z-target=10.0)
Episode =  121, score= 62.356 (best= 69.559, step=41, avg_reward=  1.521, worst=  0.521,  z-Pos=11.35065865728042, z-Vel=3.148984900621992, z-target=10.0)
Episode =  122, score= 51.485 (best= 69.559, step=36, avg_reward=  1.430, worst=  0.521,  z-Pos=11.32797831009046, z-Vel=2.7480988708289544, z-target=10.0)
Episode =  123, score= 52.624 (best= 69.559, step=51, avg_reward=  1.032, worst=  0.521,  z-Pos=11.380082646353255, z-Vel=3.6951373308981648, z-target=10.0)
Episode =  124, score= 61.033 (best= 69.559, step=41, avg_reward=  1.489, worst=  0.521,  z-Pos=11.354619336550996, z-Vel=2.9896192993382065, z-target=10.0)
Episode =  125, score= 54.240 (best= 69.559, step=38, avg_reward=  1.427, worst=  0.521,  z-Pos=11.371146005152763, z-Vel=2.8086086616278676, z-target=10.0)
Episode =  126, score= 60.569 (best= 69.559, step=40, avg_reward=  1.514, worst=  0.521,  z-Pos=11.326293788924017, z-Vel=3.0729968541482515, z-target=10.0)
Episode =  127, score= 55.089 (best= 69.559, step=38, avg_reward=  1.450, worst=  0.521,  z-Pos=11.334768317588763, z-Vel=2.8141669624931915, z-target=10.0)
Episode =  128, score= 47.984 (best= 69.559, step=34, avg_reward=  1.411, worst=  0.521,  z-Pos=11.352097670707604, z-Vel=2.786373376067715, z-target=10.0)
Episode =  129, score= 48.680 (best= 69.559, step=34, avg_reward=  1.432, worst=  0.521,  z-Pos=11.352437800726674, z-Vel=2.8994397220269463, z-target=10.0)
Episode =  130, score= 57.943 (best= 69.559, step=40, avg_reward=  1.449, worst=  0.521,  z-Pos=11.364104719518018, z-Vel=3.238192341964812, z-target=10.0)
Episode =  131, score= 56.714 (best= 69.559, step=47, avg_reward=  1.207, worst=  0.521,  z-Pos=11.333264569103164, z-Vel=3.3560762539111146, z-target=10.0)
Episode =  132, score= 55.741 (best= 69.559, step=46, avg_reward=  1.212, worst=  0.521,  z-Pos=11.356462609098228, z-Vel=3.390531730464288, z-target=10.0)
Episode =  133, score= 53.057 (best= 69.559, step=36, avg_reward=  1.474, worst=  0.521,  z-Pos=11.31801688635883, z-Vel=2.9523952856349753, z-target=10.0)
Episode =  134, score= 51.196 (best= 69.559, step=45, avg_reward=  1.138, worst=  0.521,  z-Pos=11.317123845889968, z-Vel=3.506159192676798, z-target=10.0)
Episode =  135, score= 54.542 (best= 69.559, step=47, avg_reward=  1.160, worst=  0.521,  z-Pos=11.333578830579178, z-Vel=3.4476997861648955, z-target=10.0)
Episode =  136, score= 52.434 (best= 69.559, step=37, avg_reward=  1.417, worst=  0.521,  z-Pos=11.370287000932965, z-Vel=2.7820449146484236, z-target=10.0)
Episode =  137, score= 53.456 (best= 69.559, step=41, avg_reward=  1.304, worst=  0.521,  z-Pos=11.330680860278711, z-Vel=3.315040276741368, z-target=10.0)
Episode =  138, score= 66.261 (best= 69.559, step=43, avg_reward=  1.541, worst=  0.521,  z-Pos=11.347585845049824, z-Vel=3.1926483079168855, z-target=10.0)
Episode =  139, score= 56.883 (best= 69.559, step=39, avg_reward=  1.459, worst=  0.521,  z-Pos=11.338936839030614, z-Vel=2.845013826128446, z-target=10.0)
Episode =  140, score= 51.350 (best= 69.559, step=36, avg_reward=  1.426, worst=  0.521,  z-Pos=11.318521803594138, z-Vel=2.7000816579495157, z-target=10.0)
Episode =  141, score= 55.667 (best= 69.559, step=43, avg_reward=  1.295, worst=  0.521,  z-Pos=11.346344012362517, z-Vel=3.298941020643438, z-target=10.0)
Episode =  142, score= 51.655 (best= 69.559, step=46, avg_reward=  1.123, worst=  0.521,  z-Pos=11.324140676413519, z-Vel=3.546124531396827, z-target=10.0)
Episode =  143, score= 59.163 (best= 69.559, step=43, avg_reward=  1.376, worst=  0.521,  z-Pos=11.373572122248067, z-Vel=3.2658515187770623, z-target=10.0)
Episode =  144, score= 56.484 (best= 69.559, step=39, avg_reward=  1.448, worst=  0.521,  z-Pos=11.335364518423084, z-Vel=2.784570805827633, z-target=10.0)
Episode =  145, score= 55.559 (best= 69.559, step=38, avg_reward=  1.462, worst=  0.521,  z-Pos=11.342808180866601, z-Vel=2.9008959502585374, z-target=10.0)
Episode =  146, score= 51.442 (best= 69.559, step=36, avg_reward=  1.429, worst=  0.521,  z-Pos=11.32412684082117, z-Vel=2.7301642131388464, z-target=10.0)
Episode =  147, score= 60.653 (best= 69.559, step=40, avg_reward=  1.516, worst=  0.521,  z-Pos=11.369754023554272, z-Vel=3.2108601908509367, z-target=10.0)
Episode =  148, score= 52.831 (best= 69.559, step=42, avg_reward=  1.258, worst=  0.521,  z-Pos=11.365888882521453, z-Vel=3.401420200499984, z-target=10.0)
Episode =  149, score= 51.669 (best= 69.559, step=48, avg_reward=  1.076, worst=  0.521,  z-Pos=11.330217933771628, z-Vel=3.5874785710133774, z-target=10.0)
Episode =  150, score= 53.173 (best= 69.559, step=45, avg_reward=  1.182, worst=  0.521,  z-Pos=11.340649362049767, z-Vel=3.4255690350480057, z-target=10.0)
Episode =  151, score= 57.619 (best= 69.559, step=41, avg_reward=  1.405, worst=  0.521,  z-Pos=11.380009863015117, z-Vel=3.2809195964689577, z-target=10.0)
Episode =  152, score= 57.080 (best= 69.559, step=38, avg_reward=  1.502, worst=  0.521,  z-Pos=11.355183493250292, z-Vel=3.156990831123857, z-target=10.0)
Episode =  153, score= 62.771 (best= 69.559, step=41, avg_reward=  1.531, worst=  0.521,  z-Pos=11.344410587412794, z-Vel=3.1877838351064125, z-target=10.0)
Episode =  154, score= 62.421 (best= 69.559, step=41, avg_reward=  1.522, worst=  0.521,  z-Pos=11.325218769078045, z-Vel=3.085863790160938, z-target=10.0)
Episode =  155, score= 46.715 (best= 69.559, step=33, avg_reward=  1.416, worst=  0.521,  z-Pos=11.316862380359517, z-Vel=2.7286810225738107, z-target=10.0)
Episode =  156, score= 65.810 (best= 69.559, step=43, avg_reward=  1.530, worst=  0.521,  z-Pos=11.333339415389403, z-Vel=3.097659603336882, z-target=10.0)
Episode =  157, score= 58.228 (best= 69.559, step=45, avg_reward=  1.294, worst=  0.521,  z-Pos=11.335528528800323, z-Vel=3.2675238334289847, z-target=10.0)
Episode =  158, score= 57.266 (best= 69.559, step=39, avg_reward=  1.468, worst=  0.521,  z-Pos=11.366975149767349, z-Vel=2.975027852046223, z-target=10.0)
Episode =  159, score= 56.602 (best= 69.559, step=46, avg_reward=  1.230, worst=  0.521,  z-Pos=11.369720056174796, z-Vel=3.381643350925469, z-target=10.0)
Episode =  160, score= 50.793 (best= 69.559, step=43, avg_reward=  1.181, worst=  0.521,  z-Pos=11.338692184766066, z-Vel=3.4718345658329235, z-target=10.0)
Episode =  161, score= 57.610 (best= 69.559, step=39, avg_reward=  1.477, worst=  0.521,  z-Pos=11.35094575954731, z-Vel=2.974654269354398, z-target=10.0)
Episode =  162, score= 55.884 (best= 69.559, step=45, avg_reward=  1.242, worst=  0.521,  z-Pos=11.370454494079825, z-Vel=3.3844394548118166, z-target=10.0)
Episode =  163, score= 50.025 (best= 69.559, step=46, avg_reward=  1.087, worst=  0.521,  z-Pos=11.36890261520649, z-Vel=3.646890170641164, z-target=10.0)
Episode =  164, score= 51.207 (best= 69.559, step=45, avg_reward=  1.138, worst=  0.521,  z-Pos=11.320854701083027, z-Vel=3.4929519498202195, z-target=10.0)
Episode =  165, score= 59.921 (best= 69.559, step=40, avg_reward=  1.498, worst=  0.521,  z-Pos=11.321550134521807, z-Vel=2.9721189538159596, z-target=10.0)
Episode =  166, score= 56.819 (best= 69.559, step=38, avg_reward=  1.495, worst=  0.521,  z-Pos=11.330370437167208, z-Vel=3.195601611781936, z-target=10.0)
